Date,Open,High,Low,Close,Adj Close,Volume,SMA(Open) 10D,SMA(High) 10D,SMA(Low) 10D,SMA(Close) 10D,SMA(Adj Close) 10D,SMA(Volume) 10D
2020-12-08,1961.150024,2014.250000,1950.000000,1993.750000,1987.356812,20030506,1957.9150025,1974.5649903,1937.9950073,1957.0050171,1950.7296630,13225863.0000000
2020-12-09,2009.949951,2033.800049,1999.250000,2026.949951,2020.450317,13464375,1962.5099976,1980.5449952,1944.7200073,1963.2950073,1956.9994872,13144592.2000000
2020-12-10,2021.599976,2028.500000,2001.000000,2007.000000,2000.564331,7414229,1966.6699952,1984.1000001,1950.6000122,1969.2150024,1962.9005004,12379777.5000000
2020-12-11,2013.000000,2038.000000,1974.250000,2005.800049,1999.368286,12434745,1972.6649903,1991.4000001,1955.0200073,1974.5350097,1968.2034545,12430799.3000000
2020-12-14,2007.949951,2015.000000,1986.349976,1991.300049,1984.914673,7989830,1979.4099854,1997.2900025,1961.5150025,1980.6850097,1974.3337280,11045189.2000000
2020-12-15,1989.699951,1989.699951,1961.099976,1974.349976,1968.019043,8561406,1984.3449829,1999.6349976,1964.6199952,1982.6300049,1976.2724853,10989835.9000000
2020-12-16,1988.000000,1994.949951,1965.699951,1976.550049,1970.212036,8565904,1987.2949829,2002.9299927,1967.6899903,1984.4700074,1978.1065917,10822409.5000000
2020-12-17,1984.500000,2005.000000,1977.150024,1985.599976,1979.232910,9346460,1988.5449829,2005.3199951,1969.5399903,1986.6250001,1980.2546752,10474761.0000000
2020-12-18,1980.099976,2004.900024,1965.000000,1991.550049,1985.163940,8522215,1989.6549805,2008.9099975,1972.0399903,1991.1050050,1984.7203124,10474843.7000000
2020-12-21,2010.000000,2022.000000,1855.250000,1939.699951,1933.480103,20368545,1996.5949829,2014.6099975,1963.5049927,1989.2550050,1982.8762451,11669821.5000000
2020-12-22,1949.000000,1958.900024,1888.449951,1936.699951,1930.489746,12986606,1995.3799805,2009.0749999,1957.3499878,1983.5500001,1977.1895385,10965431.5000000
2020-12-23,1930.000000,1951.449951,1920.650024,1943.849976,1937.616821,8999898,1987.3849854,2000.8399901,1949.4899902,1975.2400026,1968.9061889,10518983.8000000
2020-12-24,1947.000000,1998.800049,1945.900024,1994.150024,1987.755615,9588577,1979.9249878,1997.8699950,1943.9799926,1973.9550050,1967.6253173,10736418.6000000
2020-12-28,2006.699951,2018.000000,1995.300049,2003.300049,1996.876221,7947719,1979.2949829,1995.8699950,1946.0849975,1973.7050050,1967.3761108,10287716.0000000
2020-12-29,2009.000000,2012.300049,1982.550049,1990.050049,1983.668701,8589407,1979.3999878,1995.5999999,1945.7050048,1973.5800050,1967.2515136,10347673.7000000
2020-12-30,1995.250000,2007.199951,1975.550049,1995.500000,1989.101196,10173132,1979.9549927,1997.3499999,1947.1500121,1975.6950074,1969.3597289,10508846.3000000
2020-12-31,1993.500000,2011.900024,1978.599976,1985.300049,1978.933960,8667516,1980.5049927,1999.0450072,1948.4400146,1976.5700074,1970.2319213,10519007.5000000
2021-01-01,1988.000000,1997.000000,1982.000000,1987.500000,1981.126831,4622002,1980.8549927,1998.2450072,1948.9250122,1976.7600098,1970.4213134,10046561.7000000
2021-01-04,1995.099976,1998.900024,1968.000000,1990.849976,1984.466064,11312992,1982.3549927,1997.6450072,1949.2250122,1976.6900025,1970.3515258,10325639.4000000
2021-01-05,1969.000000,1983.599976,1956.000000,1966.099976,1959.795410,11132803,1978.2549927,1993.8050048,1959.3000122,1979.3300050,1972.9830565,9402065.2000000
2021-01-06,1965.900024,1966.000000,1905.150024,1914.250000,1908.111694,21414270,1979.9449951,1994.5150024,1960.9700195,1977.0850099,1970.7452513,10244831.6000000
2021-01-07,1920.500000,1945.000000,1905.150024,1911.150024,1905.021729,14918406,1978.9949951,1993.8700073,1959.4200195,1973.8150147,1967.4857421,10836682.4000000
2021-01-08,1918.000000,1938.400024,1912.099976,1933.699951,1927.499268,12709792,1976.0949951,1987.8300048,1956.0400147,1967.7700074,1961.4601074,11148803.9000000
2021-01-11,1938.800049,1938.800049,1892.500000,1897.250000,1891.166260,15371556,1969.3050049,1979.9100097,1945.7600098,1957.1650025,1950.8891113,11891187.6000000
2021-01-12,1903.000000,1960.000000,1899.900024,1957.050049,1950.774536,18996047,1958.7050049,1974.6800048,1937.4950073,1953.8650025,1947.5996948,12931851.6000000
2021-01-13,1963.550049,1974.949951,1918.449951,1938.800049,1932.583130,12284876,1955.5350098,1971.4550048,1931.7849975,1948.1950074,1941.9478882,13143026.0000000
2021-01-14,1945.000000,1966.900024,1939.050049,1960.599976,1954.313110,9946818,1950.6850098,1966.9550048,1927.8300048,1945.7250001,1939.4858032,13270956.2000000
2021-01-15,1960.599976,1973.800049,1920.050049,1937.449951,1931.237305,9503790,1947.9450074,1964.6350097,1921.6350097,1940.7199952,1934.4968506,13759135.0000000
2021-01-18,1949.099976,1997.000000,1923.349976,1983.949951,1977.588257,16198856,1943.3450074,1964.4450073,1917.1700073,1940.0299927,1933.8090699,14247721.4000000
2021-01-19,1994.650024,2031.000000,1994.650024,2016.400024,2009.934204,14771048,1945.9100098,1969.1850097,1921.0350097,1945.0599975,1938.8229493,14611545.9000000
2021-01-20,2021.400024,2058.000000,2001.400024,2054.699951,2048.111328,14271669,1951.4600098,1978.3850097,1930.6600097,1959.1049926,1952.8229127,13897285.8000000
2021-01-21,2082.000000,2120.000000,2075.000000,2099.399902,2092.667969,18038987,1967.6100098,1995.8850097,1947.6450073,1977.9299804,1971.5875367,14209343.9000000
2021-01-22,2111.000000,2115.350098,2035.150024,2049.600098,2043.027832,14090818,1986.9100098,2013.5800171,1959.9500121,1989.5199951,1983.1403931,14347446.5000000
2021-01-25,2034.949951,2034.949951,1932.000000,1941.000000,1934.776001,25016570,1996.5250000,2023.1950073,1963.9000121,1993.8949951,1987.5013672,15311947.9000000
2021-01-27,1925.000000,1925.000000,1888.000000,1895.000000,1888.923462,19553809,1998.7250000,2019.6950073,1962.7100097,1987.6899902,1981.3162598,15367724.1000000
2021-01-28,1880.150024,1923.300049,1870.000000,1876.550049,1870.532715,15722291,1990.3849975,2014.5300171,1957.8650146,1981.4649902,1975.1112183,15711465.6000000
2021-01-29,1894.300049,1913.099976,1830.000000,1841.949951,1836.043579,20173258,1985.3150024,2009.1500123,1946.9600097,1969.5999877,1963.2842652,16734109.6000000
2021-02-01,1859.400024,1905.000000,1848.000000,1895.300049,1889.222534,15774504,1975.1950072,2002.2700074,1939.7550048,1965.3849975,1959.0827881,17361181.0000000
2021-02-02,1914.250000,1940.000000,1854.949951,1925.800049,1919.624756,19138414,1971.7100096,1996.5700074,1932.9150023,1959.5700073,1953.2864380,17655136.8000000
2021-02-03,1928.300049,1952.000000,1900.000000,1930.650024,1924.459229,13984228,1965.0750121,1988.6700074,1923.4499999,1950.9950073,1944.7389405,17576454.8000000
2021-02-04,1924.000000,1940.000000,1905.000000,1924.300049,1918.129517,11826848,1955.3350097,1976.8700074,1913.8099975,1937.9550171,1931.7407594,17331972.7000000
2021-02-05,1930.050049,1944.650024,1920.000000,1923.750000,1917.581299,9344470,1940.1400146,1959.3350098,1898.3099975,1920.3900269,1914.2320924,16462521.0000000
2021-02-08,1933.050049,1969.000000,1929.050049,1951.449951,1945.192383,9776136,1922.3450195,1944.7000000,1887.7000000,1910.5750122,1904.4485475,16031052.8000000
2021-02-09,1961.949951,1989.599976,1952.300049,1956.150024,1949.877441,9047308,1915.0450195,1940.1650025,1889.7300049,1912.0900146,1905.9586915,14434126.6000000
2021-02-10,1953.750000,1984.750000,1927.300049,1974.300049,1967.969238,9799560,1917.9200195,1946.1400025,1893.6600098,1920.0200195,1913.8632691,13458701.7000000
2021-02-11,1980.000000,2064.199951,1972.250000,2055.699951,2049.108154,19631870,1927.9050171,1960.2299927,1903.8850098,1937.9350097,1931.7208130,13849659.6000000
2021-02-12,2055.500000,2078.000000,2015.400024,2041.599976,2035.053345,14074374,1944.0250122,1976.7199951,1922.4250122,1957.9000122,1951.6217896,13239771.2000000
2021-02-15,2048.050049,2061.300049,2025.000000,2032.599976,2026.082275,7287590,1962.8900147,1992.3500000,1940.1250122,1971.6300049,1965.3077637,12391079.8000000
2021-02-16,2039.750000,2079.399902,2035.000000,2059.500000,2052.895996,9886093,1975.4400147,2006.2899902,1958.1300171,1985.0000000,1978.6348877,11465847.7000000
2021-02-17,2060.000000,2095.949951,2050.600098,2083.250000,2076.569824,10957388,1988.6100098,2020.6849853,1973.1900269,2000.2599976,1993.8459472,11163163.7000000
2021-02-18,2085.000000,2108.399902,2059.100098,2067.699951,2061.069580,8605531,2004.7100098,2037.5249755,1988.6000367,2014.5999878,2008.1399535,10841032.0000000
2021-02-19,2057.000000,2104.949951,2053.300049,2080.300049,2073.629395,10800704,2017.4050049,2053.5549682,2001.9300416,2030.2549927,2023.7447631,10986655.4000000
2021-02-22,2080.000000,2089.899902,1994.949951,2008.099976,2001.660767,10985697,2032.1000000,2065.6449584,2008.5200318,2035.9199952,2029.3916015,11107611.5000000
2021-02-23,2048.000000,2052.899902,2013.599976,2023.449951,2016.961548,11834752,2040.7050049,2071.9749510,2014.6500245,2042.6499879,2036.1000122,11386355.9000000
2021-02-24,2030.000000,2065.250000,2026.150024,2061.000000,2054.391113,4987735,2048.3300049,2080.0249510,2024.5350220,2051.3199830,2044.7421997,10905173.4000000
2021-02-25,2076.000000,2152.000000,2073.000000,2144.350098,2137.474121,16085897,2057.9300049,2088.8049559,2034.6100220,2060.1849977,2053.5787964,10550576.1000000
2021-02-26,2117.000000,2133.899902,2070.699951,2085.800049,2079.111816,17297575,2064.0800049,2094.3949461,2040.1400147,2064.6050050,2057.9846435,10872896.2000000
